ticker,name,sector,industry,returns_mean,returns_std,beta,alpha,sharpe_ratio,max_drawdown,market_cap_log,volume_mean,volatility
MA,Mastercard Incorporated,Financial Services,Credit Services,0.050042195289894065,0.18917734201381356,0.719101781921688,0.04799517377948733,-2664.109645505714,-0.15016225453580356,26.82476624825954,2569866.533864542,0.18917734201381356
HD,"Home Depot, Inc. (The)",Consumer Cyclical,Home Improvement Retail,0.037388001784833653,0.21878091937117347,0.6486757996479607,0.03162401578130551,-2303.6827764151253,-0.1898980456706698,26.586294300043562,3456849.800796813,0.21878091937117347
BAC,Bank of America Corporation,Financial Services,Banks - Diversified,-0.013442830537171713,0.2769525468855249,1.0844572528341354,0.003792993131221868,-1819.9965021600074,-0.2750937519625052,26.28954827596375,37805135.85657371,0.2769525468855249
DIS,Walt Disney Company (The),Communication Services,Entertainment,-0.30833059227951226,0.2581771448019715,0.7809067571024089,-0.30711565150230613,-1953.494197732144,-0.2879945783649265,25.740576749311597,9811664.541832669,0.2581771448019715
NFLX,"Netflix, Inc.",Communication Services,Entertainment,0.35131564988603875,0.32373336876504233,1.1716952290698226,0.3731557467168499,-1555.8726925091912,-0.19151709324587685,26.62617259412529,3626255.77689243,0.32373336876504233
ADBE,Adobe Inc.,Technology,Software - Application,-0.26563317862814656,0.36010588896951723,1.0656075757742955,-0.24939220910414972,-1400.4349064859102,-0.40487594478063815,25.725691753114393,3353284.860557769,0.36010588896951723
CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,0.16836827253462688,0.20604569662539401,0.7917544532379375,0.17015573640723286,-2445.4325605691383,-0.15362829658132304,26.103052278534523,19720747.808764942,0.20604569662539401
INTC,Intel Corporation,Technology,Semiconductors,-0.4838443652047488,0.588835793125639,1.690455539373746,-0.4346249746589297,-856.8145381457456,-0.5069221973830702,25.18407722361079,76046074.9003984,0.588835793125639
VZ,Verizon Communications Inc.,Communication Services,Telecom Services,0.1127601933178367,0.2243495061279363,0.019737313157274235,0.07380189539747634,-2246.167028710726,-0.13557422417083143,25.922554754372143,19715307.96812749,0.2243495061279363
PFE,"Pfizer, Inc.",Healthcare,Drug Manufacturers - General,-0.06152028644380903,0.234418307741286,0.3084146485339915,-0.0852426817764898,-2150.4324850267844,-0.2445866853274974,25.59289966887315,39518756.97211155,0.234418307741286
